Name,Category,Amt,Date
NYE grocery,Grocery,4.03,1/2/2024
NYE,Entertainment,40,12/31/2023
Rent,Bill,820,12/30/2023
Mushrooms,Entertainment,10.57,12/27/2023
Groceries,Grocery,33.82,12/27/2023
Week 4 groceries,Grocery,60.67,12/26/2023
Christmas,Entertainment,11.99,12/25/2023
Saturday night,Entertainment,37.52,12/23/2023
Ferry,Entertainment,9,12/22/2023
Slushie,Eating out,3.12,12/22/2023
FIDO,Bill,44.8,12/21/2023
Vardaan cake,Eating out,2.71,12/21/2023
Splitwise,Grocery,15.09,12/21/2023
Snacks,Eating out,7.99,12/21/2023
UBC card cash,Uni,5.09,12/21/2023
Biryani,Eating out,17,12/18/2023
Winter Boots,Shopping,67,12/18/2023
Save on,Grocery,23.94,12/18/2023
Save on,Grocery,11.62,12/18/2023
Vape,Entertainment,7,12/15/2023
Save on,Grocery,10.69,12/15/2023
Tim Horton,Eating out,4.7,12/15/2023
ID card,Uni,15.75,12/11/2023
Eating out,Eating out,12.1,12/11/2023
Save on,Grocery,8.84,12/10/2023
Save on,Grocery,1.26,12/9/2023
Party snack,Eating out,2.43,12/9/2023
Lamplighter,Entertainment,34.25,12/9/2023
Save on,Grocery,68.66,12/7/2023
A&W,Eating out,7.98,12/7/2023
Uncle Fatih's,Eating out,10.29,12/7/2023
Save on,Grocery,22.01,12/6/2023
Koerner's,Entertainment,21.45,12/6/2023
Lunch,Eating out,14,12/5/2023
Prime drink,Eating out,3.67,12/5/2023
Noodle Emporium,Eating out,16.18,12/4/2023
Snacks,Eating out,3.15,12/4/2023
Save on,Grocery,40.04,12/2/2023
Snacks,Eating out,4.52,12/1/2023
groceries,Grocery,286.35,11/30/2023
Mixer Evening,uni,62.58,11/30/2023
phone,Bill,50,11/30/2023
Diwali celeb,Entertainment,38.59,11/25/2023
eating out,Eating out,20.18,11/25/2023
Beanie,Personal,31,11/20/2023
VOC membership,Personal,45,11/20/2023
linkedin,Personal,26.67,11/20/2023
Expense,N/A,510.37,11/20/2023
rent,Bill,820,11/20/2023
Expense,N/A,57.74,10/30/2023
Expense,N/A,7.5,10/30/2023
Expense,N/A,19.9,10/30/2023
Expense,N/A,31.12,10/30/2023
Expense,N/A,47.76,10/30/2023
Expense,N/A,19.44,10/30/2023
Expense,N/A,7.72,10/30/2023
Expense,N/A,21.43,10/30/2023
Expense,N/A,34.36,10/30/2023
Expense,N/A,47.27,10/30/2023
Expense,N/A,34.33,10/30/2023
Expense,N/A,6.7,10/30/2023
Expense,N/A,20.43,10/30/2023
Expense,N/A,5.12,10/30/2023
Expense,N/A,9.01,10/30/2023
Expense,N/A,20.85,10/30/2023
Expense,N/A,1.84,10/30/2023
Expense,N/A,20.8,10/30/2023
Expense,N/A,9.5,10/30/2023
Expense,N/A,34.52,10/30/2023
Expense,N/A,3.98,10/30/2023
Expense,N/A,54.61,10/30/2023
Expense,N/A,1.67,10/30/2023
Expense,N/A,7.36,10/30/2023
Expense,N/A,74.83,10/30/2023
Expense,N/A,49.59,10/30/2023
Jacket,Personal,220.62,10/30/2023
